sellprice | buyprice | maxbuy | maxsell | maxmake | name
500 | 200 | 200 | 100 | 0 | Workers
100 | 88 | 10011 | 0 | 0 | Peasants
1500 | 1250 | 2000 | 1000 | 0 | Nuclear Waste
100 | 22 | 11111 | 0 | 0 | Baobabs
400 | 200 | 3000 | 1000 | 0 | Space Oats
250 | 123 | 2000 | 1000 | 3000 | Rations
250 | 150 | 2000 | 1000 | 0 | Silicon
150 | 55 | 2000 | 1000 | 0 | Metals
500000 | 1 | 100 | 0 | 0 | Copper
5937676 | 1 | 100 | 0 | 0 | Titanium
8200000 | 1 | 100 | 0 | 0 | Gold
25000000 | 1 | 100 | 0 | 0 | Ablution Crystals
50000000 | 1 | 100 | 0 | 0 | Traginium
12000000 | 4000000 | 30 | 0 | 0 | Solar Prisms
3230962 | 1 | 100 | 0 | 0 | Pirate Crest
4203659 | 1 | 100 | 0 | 0 | Veteran Pirate Crest
400000000 | 1 | 100 | 0 | 0 | Honorary Mention
5000000 | 1 | 100 | 0 | 0 | Zebucart Specialized Trade Goods
25000000 | 1 | 100 | 0 | 0 | Goldenboy Ingot Specialized Trade Goods
25000000 | 1 | 100 | 0 | 0 | Goldenboy Nugget Specialized Trade Goods
22959821 | 1 | 100 | 0 | 0 | Goldenboy Coin Specialized Trade Goods
2250000000 | 1 | 100 | 0 | 0 | Bindomite
159000000 | 1 | 100 | 0 | 0 | Jungle Armada Crest
100000000 | 1 | 100 | 0 | 0 | Green Meanie Base Wreckage
5088203 | 1 | 100 | 0 | 0 | Scorched Trader Signet
5000000 | 1 | 100 | 0 | 0 | Scorched Trader Insignia
10000000 | 1 | 100 | 0 | 0 | Scorched Trader Badge
5000000 | 1 | 100 | 0 | 0 | Earthforce Destroyer Black Box
25681967 | 1 | 100 | 0 | 0 | Earthforce Cruiser Black Box
44546153 | 1 | 100 | 0 | 0 | Small Launching Tube
2000000 | 1 | 100 | 0 | 0 | Medium Launching Tube
1000000 | 1 | 100 | 0 | 0 | Blue Aether
1000000 | 1 | 100 | 0 | 0 | Blue Whisper
50000000 | 1 | 100 | 0 | 0 | Blue Vapor
50000000 | 1 | 101 | 0 | 0 | Sputter Nutters
10000000 | 1 | 100 | 0 | 0 | Space Boomerangs
50000000 | 1 | 100 | 0 | 0 | Enchromas
55000000 | 1 | 100 | 0 | 0 | Kromelite
5000000 | 1 | 100 | 0 | 0 | Goblets
50000000 | 1 | 1011 | 0 | 0 | Hell Fire Remains
50000000 | 1 | 100 | 0 | 0 | Xeno Shield Remains
37139855 | 222 | 100 | 0 | 0 | Dark Remains
99000000 | 1 | 100 | 0 | 0 | Urko Qu
12900000 | 1 | 100 | 0 | 0 | Primal Jungle Powercore
100000000 | 1 | 100 | 0 | 0 | Hyper Nova Blueprint
200000000 | 1 | 100 | 0 | 0 | Light of Truce Blueprint
20000000000 | 1 | 100 | 0 | 0 | Doomsday Bomb Blueprint
40000000 | 1 | 100 | 0 | 0 | Shaolin Kick Torpedo Blueprint
100000000 | 1 | 100 | 0 | 0 | ZigZagger Blueprint
33000000 | 1 | 100 | 0 | 0 | Phobos Blockade Blueprint
1490625 | 1 | 100 | 0 | 0 | Mythos Energizer Blueprint
213714285 | 1 | 100 | 0 | 0 | Multi Mythos Energizer Blueprint
2000000000 | 1 | 100 | 0 | 0 | Infinite Improbability Drive Blueprint
278083333 | 1 | 100 | 0 | 0 | Bellarmine's Mini Cathedral Blueprint
1000000000 | 1 | 100 | 0 | 0 | Std. Rage Augmenter Blueprint
4996666666 | 1 | 100 | 0 | 0 | Dionysis+ Augmenter Blueprint
2190000000 | 1 | 100 | 0 | 0 | Hibernation Augmenter Blueprint
419363636 | 1 | 100 | 0 | 0 | Platform Augmentation Beta Blueprint
1000000000 | 1 | 100 | 0 | 0 | Un-Reformatter Drone Blueprint
50000000 | 1 | 100 | 0 | 0 | Soul Magic Drone Blueprint
110000000 | 1 | 100 | 0 | 0 | Protection Drone Blueprint
6000000 | 1 | 100 | 0 | 0 | Vervaardiger Lance Drone Mk III Blueprint
14966666 | 1 | 100 | 0 | 0 | Vervaardiger Lance Drone Mk IV Blueprint
3257333333 | 1 | 100 | 0 | 0 | Qafir Drone+ Blueprint
20000000 | 1 | 100 | 0 | 0 | Vulture Blueprint
2000000000 | 1 | 100 | 0 | 0 | Scorch's Cleft Thorn Blueprint
50000000 | 1 | 100 | 0 | 0 | Golden Man Blueprint
2000000000 | 1 | 100 | 0 | 0 | Laconia Extractor Blueprint
500000000 | 1 | 100 | 0 | 0 | Dark Fighter Blueprint
25615068 | 1 | 100 | 0 | 0 | Monkey Blueprint
80940000 | 1 | 100 | 0 | 0 | Primal Monkey Heart Blueprint
22000000 | 1 | 100 | 0 | 0 | Primal Leopard Will Blueprint
25000000 | 1 | 100 | 0 | 0 | Primal Monkey Twirl Blueprint
50000000 | 1 | 100 | 0 | 0 | Primal Leopard Prowl Blueprint
9000 | 5000 | 100 | 0 | 0 | Extensor Blueprint
